species,Benthic,Brooded,Live birth,No pelagic larva,No pelagic phase,Pelagic,Pelagic larva
Paraconger caudilimbatus,,,,,,x,x
Pseudophichthys splendens,,,,,,x,x
Rhynchoconger flavus,,,,,,x,x
Rhynchoconger gracilior,,,,,,x,x
Rhynchoconger guppyi,,,,,,x,x
Uroconger syringinus,,,,,,x,x
Coryphaenidae,,,,,,,
Coryphaena equiselis,,,,,x,x,x
Coryphaena hippurus,,,,,,x,x
Crurirajidae,,,,,,,
Cruriraja atlantis,x,,,x,x,,
Cruriraja cadenati,x,,,x,x,,
Cruriraja poeyi,x,,x,x,,,
Cruriraja rugosa,x,,,x,x,,
Cynoglossidae,,,,,,,
Symphurus arawak,,,,,,x,x
Symphurus billykrietei,,,,,,x,x
Symphurus caribbeanus,,,,,,x,x
Symphurus civitatium,,,,,,x,x
Symphurus diomedeanus,,,,,,x,x
Symphurus hernandezi,,,,,,x,x
Symphurus marginatus,,,,,,x,x
Symphurus minor,,,,,,x,x
Symphurus nebulosus,,,,,,x,x
Symphurus oculellus,,,,,,x,x
Symphurus ommaspilus,,,,,,x,x
Symphurus parvus,,,,,,x,x
Symphurus pelicanus,,,,,,x,x
Symphurus piger,,,,,,x,x
Symphurus plagiusa,,,,,,x,x
Symphurus plagusia,,,,,,x,x
Symphurus pusillus,,,,,,x,x
Symphurus rhytisma,,,,,,x,x
Symphurus stigmosus,,,,,,x,x
Symphurus tessellatus,,,,,,x,x
Symphurus urospilus,,,,,,x,x
Cynolebiidae,,,,,,,
Rivulus garciai,x,,,x,x,,
Rivulus hartii,x,,,x,x,,
Rivulus marmoratus,x,,,x,x,,
Cyprinodontidae,,,,,,,
Cubanichthys cubensis,x,,,x,x,,
Cyprinodon artifrons,x,,,x,x,,
Cyprinodon dearborni,x,,,x,x,,
Cyprinodon laciniatus,x,,,x,x,,
Cyprinodon variegatus,x,,,x,x,,
Floridichthys carpio,x,,,x,x,,
Floridichthys polyommus,x,,,x,x,,
Jordanella floridae,x,,,x,x,,
Jordanella pulchra,x,,,x,x,,
Dactylopteridae,,,,,,,
Dactylopterus volitans,,,,,,x,x
Dactyloscopidae,,,,,,,
Dactylagnus peratikos,,x,,,,,x
Dactyloscopus boehlkei,,x,,,,,x
Dactyloscopus comptus,,x,,,,,x
Dactyloscopus crossotus,,x,,,,,x
Dactyloscopus foraminosus,,x,,,,,x
Dactyloscopus moorei,,x,,,,,x
Dactyloscopus poeyi,,x,,,,,x
Dactyloscopus tridigitatus,,x,,,,,x
Gillellus greyae,,x,,,,,x
Gillellus healae,,x,,,,,x
Gillellus inescatus,,x,,,,,x
Gillellus jacksoni,,x,,,,,x
Gillellus uranidea,,x,,,,,x
Leurochilus acon,,x,,,,,x
Myxodagnus belone,,x,,,,,x
Platygillellus rubrocinctus,,x,,,,,x
Platygillellus smithi,,x,,,,,x
Dalatiidae,,,,,,,
Dalatias licha,,,x,x,x,,
Isistius brasiliensis,,,x,x,,,
Isistius plutodus,,,x,x,,,
Mollisquama species A,,,x,,,,
Squaliolus laticaudus,,,x,x,,,
Dasyatidae,,,,,,,
Bathytoshia centroura,,,x,x,,,
Fontitrygon geijskesi,,,x,x,x,,
Hypanus americanus,,,x,x,,,
Hypanus guttatus,,,x,x,,,
Hypanus sabinus,,,x,x,,,
Hypanus say,,,x,x,,,
Pteroplatytrygon violacea,,,x,x,,,
Dinematichthyidae,,,,,,,
Alionematichthys minyomma,,,x,,,,x
Gunterichthys longipenis,,,x,,,,x
Ogilbia boehlkei,,,x,,,,x
Ogilbia cayorum,,,x,,,,x
Ogilbia jeffwilliamsi,,,x,,,,x
Ogilbia mccoskeri,,,x,,,,x
Ogilbia sabaji,,,x,,,,x
Ogilbia species A,,,x,,,,x
Ogilbia species B,,,x,,,,x
Ogilbia suarezae,,,x,,,,x
Ogilbia tyleri,,,x,,,,x
Ogilbichthys ferocis,,,x,,,,x
Ogilbichthys haitiensis,,,x,,,,x
Ogilbichthys kakuki,,,x,,,,x
Ogilbichthys longimanus,,,x,,,,x
Ogilbichthys microphthalmus,,,x,,,,x
Ogilbichthys puertoricoensis,,,x,,,,x
Ogilbichthys tobagoensis,,,x,,,,x
Pseudogilbia sanblasensis,,,x,,,,x
Diodontidae,,,,,,,
Chilomycterus antennatus,,,,,,x,x
Chilomycterus antillarum,,,,,,x,x
Chilomycterus reticulatus,,,,,,x,x
Chilomycterus schoepfii,,,,,,x,x
Chilomycterus spinosus spinosus,,,,,,x,x
Diodon eydouxii,,,x,,,x,
Diodon holocanthus,,,,,,x,x
Diodon hystrix,,,,,,x,x
Draconettidae,,,,,,,
Centrodraco acanthopoma,,,,,,x,x
Echeneidae,,,,,,,
Echeneis naucrates,,,,,,x,x
Echeneis neucratoides,,,,,,x,x
Phtheirichthys lineatus,,,,,,x,x
Remora albescens,,,,,,x,x
Remora australis,,,,,,x,x
Remora brachyptera,,,,,,x,x
Remora osteochir,,,,,,x,x
Remora remora,,,,,,x,x
Echinorhinidae,,,,,,,
Echinorhinus brucus,,,x,x,,,
Eleotridae,,,,,,,
Butis koilomatodon,x,,,,,,x
Dormitator maculatus,x,,,,,,x
Eleotris amblyopsis,x,,,,,,x
Eleotris perniger,x,,,,,,x
Eleotris picta,x,,,,,,x
Eleotris pisonis,x,,,,,,x
Erotelis smaragdus,x,,,,,,x
Gobiomorus dormitor,x,,,,,,x
Guavina guavina,x,,,,,,x
Leptophilypnus fluviatilis,x,,,,,,x
Elopidae,,,,,,,
Elops saurus,,,,,,x,x
Elops smithi,,,,,,x,x
Emmelichthyidae,,,,,,,
Emmelichthys ruber,,,,,,x,x
Erythrocles monodi,,,,,,x,x
Engraulidae,,,,,,,
Anchoa cayorum,,,,,,x,x
Anchoa choerostoma,,,,,,x,x
Anchoa colonensis,,,,,,x,x
Anchoa cubana,,,,,,x,x
Anchoa filifera,,,,,,x,x
Anchoa hepsetus,,,,,,x,x
Anchoa januaria,,,,,,x,x
Anchoa lamprotaenia,,,,,,x,x
Anchoa lyolepis,,,,,,x,x
Anchoa mitchilli,,,,,,x,x
Anchoa parva,,,,,,x,x
Anchoa spinifer,,,,,,x,x
Anchoa trinitatis,,,,,,x,x
Anchovia clupeoides,,,,,,x,x
Anchovia surinamensis,,,,,,x,x
Anchoviella blackburni,,,,,,x,x
Anchoviella brevirostris,,,,,,x,x
Anchoviella elongata,,,,,,x,x
Anchoviella guianensis,,,,,,x,x
Anchoviella lepidentostole,,,,,,x,x
Anchoviella perfasciata,,,,,,x,x
Cetengraulis edentulus,,,,,,x,x
Engraulis eurystole,,,,,,x,x
Lycengraulis batesii,,,,,,x,x
Lycengraulis grossidens,,,,,,x,x
Lycengraulis limnichthys,,,,,,x,x
Pterengraulis atherinoides,,,,,,x,x
Ephippidae,,,,,,,
Chaetodipterus faber,,,,,,x,x
Platax orbicularis,,,,x,,x,
Etmopteridae,,,,,,,
Centroscyllium fabricii,,,x,x,,,
Etmopterus bigelowi,,,x,x,,,
Etmopterus bullisi,,,x,x,,,
Etmopterus carteri,,,x,x,,,
Etmopterus gracilispinis,,,x,,,,x
Etmopterus hillianus,,,x,x,,,
Etmopterus perryi,,,x,x,,,
Etmopterus pusillus,,,x,x,,,
Etmopterus robinsi,,,x,x,,,
Etmopterus schultzi,,,x,x,,,
Etmopterus virens,,,x,x,,,
Exocoetidae,,,,,,,
Cheilopogon cyanopterus,x,,,,,,x
Cheilopogon exsiliens,x,,,,,,x
Cheilopogon furcatus,x,,,,,,x
Cheilopogon heterurus,x,,,,,,x
Cheilopogon melanurus,x,,,,,,x
Cypselurus comatus,x,,,,,,x
Exocoetus obtusirostris,,,,,,x,x
Exocoetus volitans,,,,,,x,x
Hirundichthys affinis,x,,,,,,x
Hirundichthys rondeletii,x,,,,,,x
Hirundichthys speculiger,x,,,,,,x
Parexocoetus hillianus,x,,,,,,x
Prognichthys glaphyrae,x,,,,,,x
Prognichthys occidentalis,x,,,,,,x
Fistulariidae,,,,,,,
Fistularia petimba,,,,,,x,x
Fistularia tabacaria,,,,,,x,x
Fundulidae,,,,,,,
