species,Carnivore,Corallivore,Detritivore,Ectoparasite cleaner,Herbivore,Omnivore,Parasitic,Planktivore
Bothus lunatus,x,,,,,,,
Bothus maculiferus,x,,,,,,,
Bothus ocellatus,x,,,,,,,
Bothus robinsi,x,,,,,,,
Chascanopsetta danae,x,,,,,,,
Chascanopsetta lugubris,x,,,,,,,
Engyophrys senta,x,,,,,,,
Monolene atrimana,x,,,,,,,
Monolene megalepis,x,,,,,,,
Monolene sessilicauda,x,,,,,,,
Trichopsetta caribbaea,x,,,,,,,
Trichopsetta melasma,x,,,,,,,
Trichopsetta orbisulcus,x,,,,,,,
Trichopsetta ventralis,x,,,,,,,
Bramidae,,,,,,,,
Brama brama,x,,,,,,,
Brama caribbea,x,,,,,,,
Brama dussumieri,x,,,,,,,
Eumegistus brevorti,x,,,,,,,
Pteraclis carolinus,x,,,,,,,
Pterycombus brama,x,,,,,,,
Taractes rubescens,x,,,,,,,
Taractichthys longipinnis,x,,,,,,,
Bregmacerotidae,,,,,,,,
Bregmaceros atlanticus,,,,,,,,x
Bregmaceros cantori,,,,,,,,x
Bregmaceros houdei,,,,,,,,x
Bythitidae,,,,,,,,
Calamopteryx goslinei,x,,,,,,,
Calamopteryx robinsorum,x,,,,,,,
Grammonus claudei,x,,,,,,,
Lucifuga lucayana,x,,,,,,,
Lucifuga simile,x,,,,,,,
Lucifuga spelaeotes,x,,,,,,,
Parasaccogaster melanomycter,x,,,,,,,
Stygnobrotula latebricola,x,,,x,,,,
Callionymidae,,,,,,,,
Callionymus bairdi,x,,,,,,,
Diplogrammus pauciradiatus,x,,,,,,,
Foetorepus agassizii,x,,,,,,,
Foetorepus dagmarae,x,,,,,,,
Foetorepus goodenbeani,x,,,,,,,
Caproidae,,,,,,,,
Antigonia capros,x,,,,,,,x
Antigonia combatia,x,,,,,,,x
Carangidae,,,,,,,,
Alectis ciliaris,x,,,,,,,x
Caranx bartholomaei,x,,,,,,,
Caranx crysos,x,,,,,,,x
Caranx hippos,x,,,,,,,
Caranx latus,x,,,,,,,x
Caranx lugubris,x,,,,,,,x
Caranx ruber,x,,,,,,,x
Chloroscombrus chrysurus,x,,,,,,,x
Decapterus macarellus,,,,,,,,x
Decapterus punctatus,x,,,,,,,x
Decapterus tabl,,,,,,,,x
Elagatis bipinnulata,x,,,,,,,x
Gnathanodon speciosus,x,,,,,,,
Hemicaranx amblyrhynchus,x,,,,,,,
Naucrates ductor,x,,,x,,,,
Oligoplites palometa,x,,,,,,,x
Oligoplites saliens,x,,,,,,,x
Oligoplites saurus saurus,x,,,x,,,,x
Pseudocaranx dentex,x,,,,,,,x
Selar crumenophthalmus,,,,,,,,x
Selene brownii,x,,,,,,,x
Selene setapinnis,x,,,,,,,x
Selene vomer,x,,,,,,,
Seriola dumerili,x,,,,,,,x
Seriola fasciata,x,,,,,,,
Seriola rivoliana,x,,,,,,,
Seriola zonata,x,,,,,,,
Trachinotus carolinus,x,,,,,,,
Trachinotus cayennensis,x,,,,,,,
Trachinotus falcatus,x,,,,,,,
Trachinotus goodei,x,,,,,,,
Trachurus lathami,x,,,,,,,x
Uraspis secunda,x,,,,,,,x
Carapidae,,,,,,,,
Carapus bermudensis,x,,,,,,,
