species,Size cm
Ctenogobius pseudofasciatus,5.8
Ctenogobius saepepallens,5
Ctenogobius shufeldti,10.7
Ctenogobius smaragdus,15
Ctenogobius stigmaticus,9.6
Ctenogobius stigmaturus,6.5
Elacatinus atronasus,5
Elacatinus cayman,2.8
Elacatinus centralis,5
Elacatinus chancei,5
Elacatinus colini,3.2
Elacatinus evelynae,4
Elacatinus genie,4.5
Elacatinus horsti,5
Elacatinus illecebrosus,4
Elacatinus jarocho,3.5
Elacatinus lobeli,3.6
Elacatinus lori,5
Elacatinus louisae,3.8
Elacatinus oceanops,5
Elacatinus prochilos,4
Elacatinus randalli,4.6
Elacatinus serranilla,4
Elacatinus species N,4
Elacatinus species P,4
Elacatinus tenox,3
Elacatinus xanthiprora,4
Evermannichthys bicolor,3.1
Evermannichthys convictor,1.8
Evermannichthys metzelaari,2.4
Evermannichthys silus,2.2
Evermannichthys spongicola,3
Evorthodus lyricus,15
Ginsburgellus novemlineatus,2.5
Gnatholepis thompsoni,8.2
Gobioides broussonnetii,55.7
Gobionellus oceanicus,30
Gobiosoma bosc,6
Gobiosoma ginsburgi,6
Gobiosoma grosvenori,3
Gobiosoma hildebrandi,4.6
Gobiosoma longipala,5
Gobiosoma nudum,4.5
Gobiosoma robustum,5
Gobiosoma schultzi,2.7
Gobiosoma spes,4.1
Gobiosoma spilotum,2.7
Gobiosoma yucatanum,2.6
Gobulus myersi,15
Lophogobius cyprinoides,10
Lythrypnus crocodilus,1.5
Lythrypnus elasson,2
Lythrypnus heterochroma,2.5
Lythrypnus minimus,1.5
Lythrypnus mowbrayi,2.5
Lythrypnus nesiotes,1.9
Lythrypnus okapia,1.7
Lythrypnus phorellus,1.8
Lythrypnus species 3,2.1
Lythrypnus spilus,2.5
Microdesmus bahianus,5.3
Microdesmus carri,5.9
Microdesmus lanceolatus,6
Microdesmus longipinnis,27
Microdesmus luscus,4.8
Microgobius carri,7.5
Microgobius gulosus,7.5
Microgobius meeki,5.5
Microgobius microlepis,5
Microgobius signatus,6
Microgobius thalassinus,6
Nes longus,10
Oxyurichthys stigmalophius,16.5
Paedovaricus imswe,1.7
Palatogobius grandoculus,4.5
Palatogobius incendius,2.7
Palatogobius paradoxus,3.5
Pariah scotius,2.6
Parrella macropteryx,6.2
Pinnichthys aimoriensis,2.9
Pinnichthys bilix,4
Pinnichthys prolata,3.1
Pinnichthys saurimimica,6.7
Priolepis dawsoni,2.6
Priolepis hipoliti,4
Priolepis robinsi,4.3
Psilotris alepis,2.5
Psilotris boehlkei,3.4
Psilotris celsa,4.1
Psilotris kaufmani,3.2
Psilotris laetarii,3
Psilotris laurae,3.6
Psilotris vantasselli,3.3
Ptereleotris calliura,12.5
Ptereleotris helenae,12
Ptereleotris randalli,12.5
Risor ruber,2.5
Robinsichthys arrowsmithensis,2.5
Sicydium buscki,9.5
Tigrigobius dilepis,2.5
Tigrigobius gemmatus,2.5
Tigrigobius harveyi,2.6
Tigrigobius macrodon,5
Tigrigobius multifasciatus,5
Tigrigobius pallens,1.9
Tigrigobius panamensis,2.9
Tigrigobius redimiculus,1.9
Tigrigobius rubrigenis,2.4
Tigrigobius saucrus,1.6
Tigrigobius zebrellus,2
Varicus adamsi,8
Varicus benthonis,3.5
Varicus bucca,4.5
Varicus cephalocellatus,8
Varicus decorum,5.7
Varicus lacerta,4.3
Varicus marilynae,2.9
Varicus nigritus,4.4
Varicus veliguttatus,5.5
Varicus vespa,3.8
Vomerogobius flavus,3
Grammatidae,
Gramma dejongi,4.5
Gramma linki,8
Gramma loreto,8
Gramma melacara,11
Lipogramma anabantoides,2.6
Lipogramma barrettorum,3.6
Lipogramma evides,6
Lipogramma flavescens,3.1
Lipogramma haberorum,5.3
Lipogramma idabeli,3
Lipogramma klayi,4
Lipogramma levinsoni,3.7
Lipogramma regia,2.5
Lipogramma robinsi,2.9
Lipogramma rosea,13
Lipogramma schrieri,7.9
Lipogramma trilineata,3.5
Grammicolepididae,
Grammicolepis brachiusculus,64
Xenolepidichthys dalgleishi,15
Gymnuridae,
Gymnura altavela,260
Gymnura lessae,166
Gymnura micrura,80
Haemulidae,
Anisotremus surinamensis,76
Anisotremus virginicus,40
Brachygenys chrysargyrea,23
Conodon nobilis,30
Emmelichthyops atlanticus,15
Genyatremus cavifrons,37
Haemulon album,79
Haemulon atlanticus,30
Haemulon aurolineatum,25
Haemulon bonariense,40
Haemulon boschmae,20
Haemulon carbonarium,40
Haemulon flavolineatum,30
Haemulon macrostomum,45
Haemulon melanurum,35
Haemulon parra,41.2
Haemulon plumierii,53
Haemulon sciurus,46
Haemulon striatum,28
Haemulon vittatum,22.5
Haemulopsis corvinaeformis,25
Orthopristis chrysoptera,46
Orthopristis scapularis,40
Paranisotremus moricandi,18
Rhonciscus crocro,33
Hemiramphidae,
Chriodorus atherinoides,20.6
Euleptorhamphus velox,61
Hemiramphus balao,40
Hemiramphus bermudensis,44
Hemiramphus brasiliensis,41
Hyporhamphus collettei,25
Hyporhamphus meeki,22
Hyporhamphus roberti,21
Hyporhamphus unifasciatus,27
Oxyporhamphus similis,22.5
Hemiscylliidae,
Chiloscyllium punctatum,132
Heterenchelyidae,
Pythonichthys sanguineus,80
Hexanchidae,
Heptranchias perlo,150
Hexanchus griseus,482
Hexanchus vitulus,180
Holocentridae,
Corniger spinosus,23
Holocentrus adscensionis,45
Holocentrus rufus,44
Myripristis jacobus,25
Neoniphon coruscum,13.5
Neoniphon marianus,22
Neoniphon vexillarium,17.2
Ostichthys trachypoma,22
Plectrypops retrospinis,15
Sargocentron bullisi,16
Sargocentron poco,13
Istiophoridae,
Istiophorus platypterus,360
Kajikia albida,280
Makaira nigricans,500
Tetrapturus georgii,200
Tetrapturus pfluegeri,250
Kyphosidae,
Kyphosus bigibbus,60
Kyphosus cinerascens,45
Kyphosus sectatrix,76
Kyphosus vaigiensis,48
Labridae labrinae,
Bodianus pulchellus,29
Bodianus rufus,50
Clepticus parrae,30
Decodon puellaris,30
Doratonotus megalepis,9.4
Halichoeres bathyphilus,23
Halichoeres bivittatus,22
Halichoeres burekae,9.3
Halichoeres caudalis,20
Halichoeres cyanocephalus,30
Halichoeres garnoti,30
Halichoeres maculipinna,15
Halichoeres pictus,13
Halichoeres poeyi,20
Halichoeres radiatus,51
