"","sciname","Genus","Species","SpeciesRefNo","FamCode","DemersPelag","DepthRangeDeep","Length","LTypeMaxM","SpecCode"
"2323","Dario urops","Dario","urops",90259,619,"benthopelagic",NA,2.38,"SL",66763
"2324","Bagrichthys hypselopterus","Bagrichthys","hypselopterus",7050,130,"demersal",NA,40,"TL",11977
"2325","Bagrichthys macracanthus","Bagrichthys","macracanthus",7050,130,"demersal",NA,25,"SL",16161
"2326","Bagrichthys macropterus","Bagrichthys","macropterus",12693,130,"demersal",NA,30,"TL",11978
"2327","Bagrichthys majusculus","Bagrichthys","majusculus",46206,130,"demersal",NA,NA,NA,60719
"2328","Bagrichthys micranodus","Bagrichthys","micranodus",7050,130,"demersal",NA,18.5,"SL",23050
"2329","Bagrichthys obscurus","Bagrichthys","obscurus",38653,130,"demersal",NA,24.91,"SL",58064
"2330","Bagrichthys vaillantii","Bagrichthys","vaillantii",58032,130,"demersal",NA,NA,NA,60720
"2331","Bagroides hirsutus","Bagroides","hirsutus",6868,130,"demersal",NA,NA,NA,50979
"2332","Bagroides melapterus","Bagroides","melapterus",7050,130,"demersal",NA,34,"TL",23052
"2333","Bagrus bajad","Bagrus","bajad",3236,130,"demersal",60,112,"FL",5462
"2334","Bagrus caeruleus","Bagrus","caeruleus",42510,130,"demersal",NA,21,"SL",9280
"2335","Bagrus degeni","Bagrus","degeni",51686,130,"demersal",NA,55,"TL",9281
"2336","Bagrus docmak","Bagrus","docmak",7324,130,"benthopelagic",80,127,"TL",6519
"2337","Bagrus filamentosus","Bagrus","filamentosus",3236,130,"demersal",NA,69,"TL",9282
"2338","Bagrus lubosicus","Bagrus","lubosicus",3236,130,"demersal",NA,24.3,"SL",9284
"2339","Bagrus meridionalis","Bagrus","meridionalis",52142,130,"demersal",60,150,"SL",4721
"2340","Bagrus orientalis","Bagrus","orientalis",3236,130,"demersal",NA,44.7,"TL",9285
"2341","Bagrus tucumanus","Bagrus","tucumanus",87119,130,"demersal",NA,NA,NA,66126
"2342","Bagrus ubangensis","Bagrus","ubangensis",51906,130,"demersal",NA,31.5,"TL",9286
"2343","Bagrus urostigma","Bagrus","urostigma",52301,130,"demersal",NA,72,"TL",9287
"2344","Batasio affinis","Batasio","affinis",44354,130,"benthopelagic",NA,7.44,"SL",59908
"2345","Batasio batasio","Batasio","batasio",4833,130,"demersal",NA,10,"TL",13293
"2346","Batasio convexirostrum","Batasio","convexirostrum",87063,130,"demersal",NA,NA,NA,66110
"2347","Batasio dayi","Batasio","dayi",44354,130,"benthopelagic",NA,8.65,"SL",59909
"2348","Batasio elongatus","Batasio","elongatus",57570,130,"demersal",NA,7.56,"SL",62881
"2349","Batasio fasciolatus","Batasio","fasciolatus",57570,130,"demersal",NA,7.06,"SL",62878
"2350","Batasio feruminatus","Batasio","feruminatus",74340,130,"demersal",NA,6.01,"SL",63611
"2351","Batasio fluviatilis","Batasio","fluviatilis",74340,130,"demersal",NA,8.58,"SL",65818
"2352","Batasio macronotus","Batasio","macronotus",54041,130,"benthopelagic",NA,8.9,"SL",62109
"2353","Batasio merianiensis","Batasio","merianiensis",58032,130,"demersal",NA,6.57,"SL",62250
"2354","Batasio pakistanicus","Batasio","pakistanicus",44354,130,"demersal",NA,NA,NA,60723
"2355","Batasio procerus","Batasio","procerus",75740,130,"benthopelagic",NA,11.44,"SL",63869
"2356","Batasio sharavatiensis","Batasio","sharavatiensis",54041,130,"demersal",NA,10.7,"SL",62247
"2357","Batasio spilurus","Batasio","spilurus",57570,130,"demersal",NA,4.2,"SL",62879
"2358","Batasio tengana","Batasio","tengana",4833,130,"benthopelagic",NA,9,"TL",13295
"2359","Batasio tigrinus","Batasio","tigrinus",44354,130,"benthopelagic",NA,6.21,"SL",59910
"2360","Batasio travancoria","Batasio","travancoria",4833,130,"demersal",NA,10,"TL",24712
"2361","Chandramara chandramara","Chandramara","chandramara",41236,130,"demersal",NA,5,"SL",24734
"2362","Coreobagrus brevicorpus","Coreobagrus","brevicorpus",58032,130,"benthopelagic",NA,9.2,"TL",25591
"2363","Coreobagrus ichikawai","Coreobagrus","ichikawai",58032,130,"benthopelagic",NA,10.8,"SL",6191
"2364","Hemibagrus amemiyai","Hemibagrus","amemiyai",58032,130,"demersal",NA,NA,NA,50963
"2365","Hemibagrus baramensis","Hemibagrus","baramensis",13218,130,"demersal",NA,24,"SL",23073
"2366","Hemibagrus bongan","Hemibagrus","bongan",13218,130,"demersal",NA,NA,NA,27391
"2367","Hemibagrus camthuyensis","Hemibagrus","camthuyensis",84796,130,"demersal",NA,NA,NA,65674
"2368","Hemibagrus caveatus","Hemibagrus","caveatus",46206,130,"demersal",NA,NA,NA,60724
"2369","Hemibagrus centralus","Hemibagrus","centralus",44416,130,"demersal",NA,NA,NA,60725
"2370","Hemibagrus chiemhoaensis","Hemibagrus","chiemhoaensis",84796,130,"demersal",NA,NA,NA,65677
"2371","Hemibagrus chrysops","Hemibagrus","chrysops",46206,130,"demersal",NA,NA,NA,60726
"2372","Hemibagrus divaricatus","Hemibagrus","divaricatus",93057,130,"demersal",NA,30.8,"SL",66814
"2373","Hemibagrus dongbacensis","Hemibagrus","dongbacensis",84796,130,"demersal",NA,NA,NA,65681
"2374","Hemibagrus filamentus","Hemibagrus","filamentus",38441,130,"benthopelagic",NA,50,"TL",58032
"2375","Hemibagrus fortis","Hemibagrus","fortis",57780,130,"demersal",NA,NA,NA,63085
"2376","Hemibagrus furcatus","Hemibagrus","furcatus",38463,130,"benthopelagic",NA,15,"SL",58052
"2377","Hemibagrus gracilis","Hemibagrus","gracilis",13218,130,"demersal",NA,40.5,"SL",27257
"2378","Hemibagrus guttatus","Hemibagrus","guttatus",43281,130,"demersal",NA,57,"SL",14479
"2379","Hemibagrus hainanensis","Hemibagrus","hainanensis",58032,130,"demersal",NA,NA,NA,63630
"2380","Hemibagrus hoevenii","Hemibagrus","hoevenii",37837,130,"demersal",NA,35,"SL",27392
"2381","Hemibagrus hongus","Hemibagrus","hongus",44416,130,"demersal",NA,NA,NA,60728
"2382","Hemibagrus imbrifer","Hemibagrus","imbrifer",41209,130,"demersal",NA,18.66,"SL",58678
"2383","Hemibagrus johorensis","Hemibagrus","johorensis",58032,130,"demersal",NA,NA,NA,63632
"2384","Hemibagrus lacustrinus","Hemibagrus","lacustrinus",93057,130,"demersal",NA,22.32,"SL",66816
"2385","Hemibagrus macropterus","Hemibagrus","macropterus",58032,130,"demersal",NA,23.3,"SL",52976
"2386","Hemibagrus maydelli","Hemibagrus","maydelli",41209,130,"demersal",NA,165,"TL",58670
"2387","Hemibagrus menoda","Hemibagrus","menoda",41209,130,"demersal",NA,45,"TL",24725
"2388","Hemibagrus microphthalmus","Hemibagrus","microphthalmus",41209,130,"demersal",NA,150,"NG",13307
"2389","Hemibagrus nemurus","Hemibagrus","nemurus",12693,130,"benthopelagic",NA,65,"SL",5427
"2390","Hemibagrus olyroides","Hemibagrus","olyroides",2091,130,"demersal",NA,20.2,"SL",23076
"2391","Hemibagrus peguensis","Hemibagrus","peguensis",41209,130,"demersal",NA,29.06,"SL",24726
"2392","Hemibagrus planiceps","Hemibagrus","planiceps",13218,130,"demersal",NA,33.5,"TL",23078
"2393","Hemibagrus pluriradiatus","Hemibagrus","pluriradiatus",43281,130,"demersal",NA,21.6,"SL",50977
"2394","Hemibagrus punctatus","Hemibagrus","punctatus",41209,130,"demersal",NA,45,"TL",13319
"2395","Hemibagrus sabanus","Hemibagrus","sabanus",13275,130,"demersal",NA,20,"SL",23080
"2396","Hemibagrus semotus","Hemibagrus","semotus",93057,130,"demersal",NA,19.88,"SL",66812
"2397","Hemibagrus songdaensis","Hemibagrus","songdaensis",84796,130,"demersal",NA,NA,NA,65726
"2398","Hemibagrus spilopterus","Hemibagrus","spilopterus",38441,130,"demersal",NA,30.91,"SL",58037
"2399","Hemibagrus taybacensis","Hemibagrus","taybacensis",84796,130,"demersal",NA,NA,NA,65729
"2400","Hemibagrus variegatus","Hemibagrus","variegatus",41209,130,"demersal",NA,80,"NG",58680
"2401","Hemibagrus velox","Hemibagrus","velox",40801,130,"demersal",NA,35.7,"SL",60070
"2402","Hemibagrus vietnamicus","Hemibagrus","vietnamicus",44416,130,"demersal",NA,NA,NA,60727
"2403","Hemibagrus wyckii","Hemibagrus","wyckii",38441,130,"demersal",NA,71,"SL",16107
"2404","Hemibagrus wyckioides","Hemibagrus","wyckioides",38441,130,"demersal",NA,130,"TL",26973
"2405","Hemileiocassis panjang","Hemileiocassis","panjang",44369,130,"benthopelagic",NA,13.87,"SL",59913
"2406","Horabagrus brachysoma","Horabagrus","brachysoma",4833,130,"demersal",NA,45,"TL",13296
"2407","Horabagrus melanosoma","Horabagrus","melanosoma",94428,130,"demersal",NA,23.5,"SL",67210
"2408","Horabagrus nigricollaris","Horabagrus","nigricollaris",31807,130,"demersal",NA,27,"TL",54297
"2409","Hyalobagrus flavus","Hyalobagrus","flavus",33074,130,"demersal",NA,4.35,"SL",54609
"2410","Hyalobagrus leiacanthus","Hyalobagrus","leiacanthus",33074,130,"demersal",NA,3.67,"SL",54611
"2411","Hyalobagrus ornatus","Hyalobagrus","ornatus",2091,130,"demersal",NA,3,"SL",23084
"2412","Leiocassis aculeatus","Leiocassis","aculeatus",55439,130,"demersal",NA,12.19,"SL",62248
"2413","Leiocassis brevirostris","Leiocassis","brevirostris",84796,130,"demersal",NA,NA,NA,65673
"2414","Leiocassis collinus","Leiocassis","collinus",57084,130,"demersal",NA,17.9,"SL",62756
"2415","Leiocassis crassirostris","Leiocassis","crassirostris",58032,130,"demersal",NA,NA,NA,66242
"2416","Leiocassis doriae","Leiocassis","doriae",6868,130,"demersal",NA,NA,NA,60729
"2417","Leiocassis hosii","Leiocassis","hosii",57084,130,"demersal",NA,15.8,"SL",63086
"2418","Leiocassis longibarbus","Leiocassis","longibarbus",45654,130,"demersal",NA,NA,NA,60463
"2419","Leiocassis longirostris","Leiocassis","longirostris",6868,130,"demersal",NA,33.3,"SL",50980
"2420","Leiocassis micropogon","Leiocassis","micropogon",2091,130,"demersal",NA,18.3,"SL",25186
"2421","Leiocassis poecilopterus","Leiocassis","poecilopterus",7050,130,"demersal",NA,17,"SL",23066
"2422","Leiocassis saravacensis","Leiocassis","saravacensis",7050,130,"demersal",NA,15,"TL",23069
"2423","Leiocassis tenebricus","Leiocassis","tenebricus",57084,130,"demersal",NA,9.02,"SL",62760
"2424","Leiocassis yeni","Leiocassis","yeni",84796,130,"demersal",NA,NA,NA,65740
"2425","Mystus abbreviatus","Mystus","abbreviatus",47364,130,"demersal",NA,NA,NA,60722
"2426","Mystus alasensis","Mystus","alasensis",55439,130,"demersal",NA,10.82,"SL",62249
"2427","Mystus albolineatus","Mystus","albolineatus",10418,130,"demersal",NA,35,"SL",16144
"2428","Mystus ankutta","Mystus","ankutta",79815,130,"demersal",NA,7.92,"SL",64794
"2429","Mystus armatus","Mystus","armatus",4833,130,"demersal",NA,14.5,"SL",5148
"2430","Mystus armiger","Mystus","armiger",53321,130,"benthopelagic",NA,15.55,"SL",62077
"2431","Mystus atrifasciatus","Mystus","atrifasciatus",12693,130,"demersal",NA,15,"SL",26700
"2432","Mystus bimaculatus","Mystus","bimaculatus",40801,130,"demersal",NA,6.69,"SL",60071
"2433","Mystus bleekeri","Mystus","bleekeri",4833,130,"demersal",NA,15.5,"TL",5495
"2434","Mystus bocourti","Mystus","bocourti",10418,130,"demersal",NA,24,"SL",16151
"2435","Mystus canarensis","Mystus","canarensis",96965,130,"demersal",NA,10.1,"SL",60730
"2436","Mystus carcio","Mystus","carcio",86732,130,"demersal",NA,5,"SL",66070
"2437","Mystus castaneus","Mystus","castaneus",51149,130,"demersal",NA,14.38,"SL",60731
"2438","Mystus cavasius","Mystus","cavasius",4833,130,"demersal",NA,40,"SL",5140
"2439","Mystus chinensis","Mystus","chinensis",6868,130,"demersal",NA,NA,NA,50966
"2440","Mystus cineraceus","Mystus","cineraceus",81213,130,"demersal",NA,NA,NA,64992
"2441","Mystus dibrugarensis","Mystus","dibrugarensis",88771,130,"demersal",NA,NA,NA,66481
"2442","Mystus falcarius","Mystus","falcarius",56668,130,"demersal",NA,19.04,"SL",62625
"2443","Mystus gulio","Mystus","gulio",6028,130,"demersal",NA,46,"TL",5139
"2444","Mystus heoki","Mystus","heoki",96965,130,"demersal",NA,13.7,"SL",67567
"2445","Mystus horai","Mystus","horai",4833,130,"demersal",NA,16.5,"SL",24723
"2446","Mystus impluviatus","Mystus","impluviatus",51149,130,"demersal",NA,11.96,"SL",61642
"2447","Mystus indicus","Mystus","indicus",96965,130,"demersal",NA,10.7,"SL",67566
"2448","Mystus keletius","Mystus","keletius",4833,130,"demersal",NA,18,"TL",13298
"2449","Mystus keralai","Mystus","keralai",96965,130,"demersal",NA,5.9,"SL",67565
"2450","Mystus leucophasis","Mystus","leucophasis",4833,130,"demersal",NA,25,"NG",13303
"2451","Mystus malabaricus","Mystus","malabaricus",4833,130,"demersal",NA,15,"TL",13306
"2452","Mystus menoni","Mystus","menoni",94429,130,"demersal",NA,12.1,"SL",67211
"2453","Mystus montanus","Mystus","montanus",4833,130,"demersal",NA,15,"TL",13309
"2454","Mystus multiradiatus","Mystus","multiradiatus",12693,130,"demersal",NA,12.8,"SL",26711
"2455","Mystus mysticetus","Mystus","mysticetus",12693,130,"demersal",NA,13,"SL",26715
"2456","Mystus ngasep","Mystus","ngasep",88771,130,"demersal",NA,10.87,"SL",66339
"2457","Mystus nigriceps","Mystus","nigriceps",58032,130,"demersal",NA,19.8,"SL",11990
"2458","Mystus oculatus","Mystus","oculatus",4833,130,"demersal",NA,15,"TL",13310
"2459","Mystus pelusius","Mystus","pelusius",10418,130,"demersal",NA,17.8,"SL",50971
"2460","Mystus pulcher","Mystus","pulcher",4833,130,"demersal",NA,8,"NG",24727
"2461","Mystus punctifer","Mystus","punctifer",46206,130,"demersal",NA,NA,NA,60732
"2462","Mystus rhegma","Mystus","rhegma",10418,130,"demersal",NA,12,"SL",16165
"2463","Mystus rufescens","Mystus","rufescens",10418,130,"demersal",NA,14.6,"SL",24730
"2464","Mystus seengtee","Mystus","seengtee",58032,130,"demersal",NA,15.65,"SL",63633
"2465","Mystus singaringan","Mystus","singaringan",12693,130,"demersal",NA,30,"SL",16172
"2466","Mystus tengara","Mystus","tengara",4833,130,"demersal",NA,18,"TL",24731
"2467","Mystus velifer","Mystus","velifer",91083,130,"demersal",NA,14.48,"SL",66942
"2468","Mystus vittatus","Mystus","vittatus",6028,130,"demersal",NA,21,"SL",5137
"2469","Mystus wolffii","Mystus","wolffii",7050,130,"demersal",NA,20,"TL",23081
"2470","Nanobagrus armatus","Nanobagrus","armatus",40801,130,"demersal",NA,3.2,"SL",23054
"2471","Nanobagrus fuscus","Nanobagrus","fuscus",75167,130,"demersal",NA,5.1,"TL",23057
"2472","Nanobagrus immaculatus","Nanobagrus","immaculatus",75167,130,"demersal",NA,2.93,"SL",63744
"2473","Nanobagrus lemniscatus","Nanobagrus","lemniscatus",85604,130,"demersal",NA,NA,NA,65836
"2474","Nanobagrus nebulosus","Nanobagrus","nebulosus",36133,130,"benthopelagic",NA,3.5,"SL",58041
"2475","Nanobagrus stellatus","Nanobagrus","stellatus",40801,130,"benthopelagic",NA,3.36,"SL",60073
"2476","Nanobagrus torquatus","Nanobagrus","torquatus",78578,130,"demersal",NA,NA,NA,64277
"2477","Pelteobagrus eupogon","Pelteobagrus","eupogon",6868,130,"demersal",NA,25,"TL",50760
"2478","Pelteobagrus intermedius","Pelteobagrus","intermedius",58032,130,"demersal",NA,13.5,"SL",50924
"2479","Pelteobagrus tonkinensis","Pelteobagrus","tonkinensis",84796,130,"demersal",NA,NA,NA,65733
"2480","Pelteobagrus ussuriensis","Pelteobagrus","ussuriensis",58032,130,"demersal",NA,100,"TL",28050
"2481","Pseudobagrus albomarginatus","Pseudobagrus","albomarginatus",6868,130,"benthopelagic",NA,16.7,"SL",50918
"2482","Pseudobagrus analis","Pseudobagrus","analis",6868,130,"benthopelagic",NA,NA,NA,50919
"2483","Pseudobagrus aurantiacus","Pseudobagrus","aurantiacus",559,130,"benthopelagic",NA,16.47,"SL",22948
"2484","Pseudobagrus brachyrhabdion","Pseudobagrus","brachyrhabdion",75714,130,"demersal",NA,20.72,"SL",63862
"2485","Pseudobagrus brevianalis","Pseudobagrus","brevianalis",6868,130,"benthopelagic",NA,10,"SL",50920
"2486","Pseudobagrus brevicaudatus","Pseudobagrus","brevicaudatus",6868,130,"benthopelagic",NA,NA,NA,50921
"2487","Pseudobagrus crassilabris","Pseudobagrus","crassilabris",33423,130,"demersal",NA,18,"TL",55077
"2488","Pseudobagrus eupogoides","Pseudobagrus","eupogoides",6868,130,"demersal",NA,NA,NA,50937
"2489","Pseudobagrus fui","Pseudobagrus","fui",57972,130,"demersal",NA,13.38,"SL",50940
"2490","Pseudobagrus gracilis","Pseudobagrus","gracilis",56712,130,"demersal",NA,17.307,"SL",62640
"2491","Pseudobagrus hwanghoensis","Pseudobagrus","hwanghoensis",6868,130,"benthopelagic",NA,NA,NA,50923
"2492","Pseudobagrus kaifenensis","Pseudobagrus","kaifenensis",6868,130,"benthopelagic",NA,NA,NA,50925
"2493","Pseudobagrus koreanus","Pseudobagrus","koreanus",33021,130,"demersal",NA,NA,NA,57439
"2494","Pseudobagrus kyphus","Pseudobagrus","kyphus",45051,130,"pelagic",NA,7.26,"SL",60033
"2495","Pseudobagrus medianalis","Pseudobagrus","medianalis",6868,130,"benthopelagic",NA,20,"TL",10396
"2496","Pseudobagrus microps","Pseudobagrus","microps",57972,130,"demersal",NA,NA,NA,50942
"2497","Pseudobagrus nubilosus","Pseudobagrus","nubilosus",57972,130,"demersal",NA,5.08,"SL",63297
"2498","Pseudobagrus omeihensis","Pseudobagrus","omeihensis",6868,130,"benthopelagic",NA,NA,NA,50926
"2499","Pseudobagrus ondon","Pseudobagrus","ondon",6868,130,"benthopelagic",NA,NA,NA,50927
"2500","Pseudobagrus pratti","Pseudobagrus","pratti",58032,130,"benthopelagic",NA,19.8,"SL",50761
"2501","Pseudobagrus rendahli","Pseudobagrus","rendahli",6868,130,"benthopelagic",NA,NA,NA,50928
"2502","Pseudobagrus sinyanensis","Pseudobagrus","sinyanensis",31517,130,"demersal",NA,NA,NA,60432
"2503","Pseudobagrus taeniatus","Pseudobagrus","taeniatus",6868,130,"benthopelagic",NA,23.6,"SL",50929
"2504","Pseudobagrus taiwanensis","Pseudobagrus","taiwanensis",6868,130,"benthopelagic",NA,NA,NA,50930
"2505","Pseudobagrus tenuifurcatus","Pseudobagrus","tenuifurcatus",82810,130,"demersal",NA,35,"TL",50947
"2506","Pseudobagrus tenuis","Pseudobagrus","tenuis",6868,130,"benthopelagic",NA,22.7,"SL",50762
"2507","Pseudobagrus tokiensis","Pseudobagrus","tokiensis",33967,130,"benthopelagic",NA,11.32,"SL",56248
"2508","Pseudobagrus trilineatus","Pseudobagrus","trilineatus",33423,130,"benthopelagic",NA,7.6,"SL",55078
"2509","Pseudobagrus truncatus","Pseudobagrus","truncatus",6868,130,"benthopelagic",NA,15.68,"SL",50932
"2510","Pseudobagrus vachellii","Pseudobagrus","vachellii",82810,130,"demersal",NA,35,"TL",50950
"2511","Pseudobagrus wangi","Pseudobagrus","wangi",57972,130,"demersal",NA,NA,NA,50959
"2512","Pseudomystus bomboides","Pseudomystus","bomboides",36949,130,"benthopelagic",NA,4.2,"SL",57776
"2513","Pseudomystus breviceps","Pseudomystus","breviceps",13275,130,"demersal",NA,9,"TL",23056
"2514","Pseudomystus carnosus","Pseudomystus","carnosus",54514,130,"demersal",NA,8.28,"SL",62151
"2515","Pseudomystus flavipinnis","Pseudomystus","flavipinnis",46206,130,"demersal",NA,NA,NA,60735
"2516","Pseudomystus fumosus","Pseudomystus","fumosus",54514,130,"demersal",NA,7.36,"SL",62152
"2517","Pseudomystus funebris","Pseudomystus","funebris",83674,130,"demersal",NA,5,"SL",65371
"2518","Pseudomystus heokhuii","Pseudomystus","heokhuii",74936,130,"demersal",NA,6.36,"SL",63685
"2519","Pseudomystus inornatus","Pseudomystus","inornatus",13275,130,"demersal",NA,14.5,"TL",23059
"2520","Pseudomystus leiacanthus","Pseudomystus","leiacanthus",7050,130,"demersal",NA,6.2,"SL",23060
"2521","Pseudomystus mahakamensis","Pseudomystus","mahakamensis",13275,130,"demersal",NA,10,"SL",23062
"2522","Pseudomystus moeschii","Pseudomystus","moeschii",13275,130,"demersal",NA,9,"TL",23064
"2523","Pseudomystus myersi","Pseudomystus","myersi",13275,130,"demersal",NA,8.7,"TL",23065
"2524","Pseudomystus robustus","Pseudomystus","robustus",7050,130,"demersal",NA,25,"SL",23067
"2525","Pseudomystus rugosus","Pseudomystus","rugosus",40801,130,"demersal",NA,12,"TL",23068
"2526","Pseudomystus siamensis","Pseudomystus","siamensis",27732,130,"demersal",NA,15,"SL",11987
"2527","Pseudomystus sobrinus","Pseudomystus","sobrinus",56216,130,"benthopelagic",NA,6.23,"SL",62555
"2528","Pseudomystus stenogrammus","Pseudomystus","stenogrammus",54481,130,"demersal",NA,NA,NA,62141
"2529","Pseudomystus stenomus","Pseudomystus","stenomus",12693,130,"demersal",NA,12,"TL",23071
"2530","Pseudomystus vaillanti","Pseudomystus","vaillanti",13275,130,"demersal",NA,10.7,"SL",23072
"2531","Rama rama","Rama","rama",58032,130,"demersal",NA,NA,NA,63472
"2532","Rita chrysea","Rita","chrysea",4833,130,"demersal",NA,19.5,"TL",24735
"2533","Rita gogra","Rita","gogra",6868,130,"demersal",NA,26,"TL",13325
"2534","Rita kuturnee","Rita","kuturnee",4833,130,"demersal",NA,30,"TL",24736
"2535","Rita macracanthus","Rita","macracanthus",54793,130,"benthopelagic",NA,26.28,"SL",62179
"2536","Rita rita","Rita","rita",4833,130,"demersal",NA,150,"TL",4884
"2537","Rita sacerdotum","Rita","sacerdotum",58784,130,"demersal",NA,200,"TL",61417
"2538","Sperata acicularis","Sperata","acicularis",46206,130,"demersal",NA,180,"NG",60736
"2539","Sperata aor","Sperata","aor",4833,130,"demersal",NA,180,"TL",5496
"2540","Sperata aorella","Sperata","aorella",46206,130,"demersal",NA,NA,NA,60631
"2541","Sperata seenghala","Sperata","seenghala",4833,130,"demersal",NA,150,"TL",10111
"2542","Tachysurus adiposalis","Tachysurus","adiposalis",33423,130,"benthopelagic",NA,14,"SL",17307
"2543","Tachysurus argentivittatus","Tachysurus","argentivittatus",82737,130,"demersal",NA,5,"SL",50965
"2544","Tachysurus brashnikowi","Tachysurus","brashnikowi",82587,130,"demersal",NA,22,"TL",28024
"2545","Tachysurus fulvidraco","Tachysurus","fulvidraco",43281,130,"demersal",NA,34.5,"TL",28052
"2546","Tachysurus herzensteini","Tachysurus","herzensteini",58032,130,"demersal",NA,45,"TL",28047
"2547","Tachysurus hoi","Tachysurus","hoi",57972,130,"demersal",NA,NA,NA,50941
"2548","Tachysurus longispinalis","Tachysurus","longispinalis",82737,130,"demersal",NA,NA,NA,65696
"2549","Tachysurus nitidus","Tachysurus","nitidus",57972,130,"demersal",NA,19,"TL",50943
"2550","Tachysurus nudiceps","Tachysurus","nudiceps",58032,130,"demersal",NA,15,"TL",22947
"2551","Tachysurus sinensis","Tachysurus","sinensis",82587,130,"demersal",NA,36.1,"SL",58672
"2552","Tachysurus spilotus","Tachysurus","spilotus",82737,130,"benthopelagic",NA,6.93,"SL",65145
"2553","Tachysurus virgatus","Tachysurus","virgatus",82737,130,"demersal",NA,13.3,"SL",50951
"2554","Abalistes filamentosus","Abalistes","filamentosus",54835,445,"pelagic-neritic",180,32.5,"SL",62612
"2555","Abalistes stellaris","Abalistes","stellaris",9770,445,"demersal",100,60,"TL",9
"2556","Abalistes stellatus","Abalistes","stellatus",11441,445,"reef-associated",350,60,"TL",58334
"2557","Balistapus undulatus","Balistapus","undulatus",9770,445,"reef-associated",50,30,"TL",6025
"2558","Balistes capriscus","Balistes","capriscus",35505,445,"reef-associated",100,60,"TL",7327
"2559","Balistes ellioti","Balistes","ellioti",45255,445,"demersal",NA,NA,NA,60555
"2560","Balistes polylepis","Balistes","polylepis",2850,445,"reef-associated",60,76,"TL",4276
"2561","Balistes punctatus","Balistes","punctatus",7348,445,"demersal",200,60,"TL",4931
"2562","Balistes rotundatus","Balistes","rotundatus",44024,445,"pelagic-neritic",NA,27.2,"SL",59946
"2563","Balistes vetula","Balistes","vetula",7251,445,"reef-associated",275,60,"TL",19
"2564","Balistes willughbeii","Balistes","willughbeii",44024,445,"reef-associated",NA,13.1,"SL",60058
"2565","Balistoides conspicillum","Balistoides","conspicillum",9770,445,"reef-associated",75,50,"TL",2300
"2566","Balistoides viridescens","Balistoides","viridescens",9770,445,"reef-associated",50,75,"TL",6026
"2567","Canthidermis macrolepis","Canthidermis","macrolepis",11441,445,"benthopelagic",NA,60,"TL",46433
"2568","Canthidermis maculata","Canthidermis","maculata",1602,445,"reef-associated",110,50,"TL",4278
"2569","Canthidermis sufflamen","Canthidermis","sufflamen",7251,445,"reef-associated",60,65,"TL",4279
"2570","Melichthys indicus","Melichthys","indicus",4420,445,"reef-associated",30,25,"TL",7634
"2571","Melichthys niger","Melichthys","niger",9770,445,"reef-associated",75,50,"TL",966
"2572","Melichthys vidua","Melichthys","vidua",9770,445,"reef-associated",60,40,"TL",5838
"2573","Odonus niger","Odonus","niger",2334,445,"reef-associated",40,50,"TL",1311
"2574","Pseudobalistes flavimarginatus","Pseudobalistes","flavimarginatus",1602,445,"reef-associated",50,60,"TL",6027
"2575","Pseudobalistes fuscus","Pseudobalistes","fuscus",1602,445,"reef-associated",50,55,"TL",4466
"2576","Pseudobalistes naufragium","Pseudobalistes","naufragium",9276,445,"reef-associated",36,100,"TL",8226
"2577","Rhinecanthus abyssus","Rhinecanthus","abyssus",9770,445,"demersal",150,16.6,"SL",15214
"2578","Rhinecanthus aculeatus","Rhinecanthus","aculeatus",1602,445,"reef-associated",50,30,"TL",5839
"2579","Rhinecanthus assasi","Rhinecanthus","assasi",8883,445,"reef-associated",NA,30,"TL",25420
"2580","Rhinecanthus cinereus","Rhinecanthus","cinereus",30829,445,"reef-associated",NA,16.5,"SL",54955
"2581","Rhinecanthus lunula","Rhinecanthus","lunula",2334,445,"reef-associated",30,28,"TL",13774
"2582","Rhinecanthus rectangulus","Rhinecanthus","rectangulus",9770,445,"reef-associated",20,30,"TL",5840
"2583","Rhinecanthus verrucosus","Rhinecanthus","verrucosus",9770,445,"reef-associated",20,23,"TL",6028
"2584","Sufflamen albicaudatum","Sufflamen","albicaudatum",8883,445,"reef-associated",20,22,"TL",25419
"2585","Sufflamen bursa","Sufflamen","bursa",1602,445,"reef-associated",90,25,"TL",6029
"2586","Sufflamen chrysopterum","Sufflamen","chrysopterum",1602,445,"reef-associated",30,30,"TL",5842
"2587","Sufflamen fraenatum","Sufflamen","fraenatum",1602,445,"reef-associated",186,38,"TL",1312
"2588","Sufflamen verres","Sufflamen","verres",9276,445,"reef-associated",36,40,"TL",13533
"2589","Xanthichthys auromarginatus","Xanthichthys","auromarginatus",1602,445,"reef-associated",150,30,"TL",6030
"2590","Xanthichthys caeruleolineatus","Xanthichthys","caeruleolineatus",9770,445,"reef-associated",200,35,"TL",6359
"2591","Xanthichthys lima","Xanthichthys","lima",53568,445,"reef-associated",NA,NA,NA,62159
"2592","Xanthichthys lineopunctatus","Xanthichthys","lineopunctatus",9770,445,"reef-associated",50,30,"TL",6944
"2593","Xanthichthys mento","Xanthichthys","mento",1602,445,"reef-associated",130,30,"NG",4284
"2594","Xanthichthys ringens","Xanthichthys","ringens",7251,445,"reef-associated",80,25,"TL",4285
"2595","Xenobalistes tumidipectoris","Xenobalistes","tumidipectoris",9770,445,"demersal",NA,NA,NA,60517
