species,Benthic macroalgae,Benthic microalgae,Bony fishes,Detritus,Ectoparasites,Hard corals,Insects,Mobile benthic crustacea (shrimps/crabs),Mobile benthic gastropods/bivalves,Mobile benthic worms,Octopus/squid/cuttlefish,Pelagic crustacea,Pelagic fish eggs,Pelagic fish larvae,Pelagic jellyfish/ctenophores,Phytoplankton,Sea snakes/mammals/turtles/birds,Sea-stars/cucumbers/urchins,Sessile crustacea,Sessile molluscs,Sessile worms,Sharks/rays,Soft corals/hydroids,Sponges/seasquirts/bryozoa,Terrestrial plants,Zooplankton
Ariomma melanum,,,,,,,,x,,x,x,,,,,,,,,,,,,,,x
Ariomma regulus,,,,,,,,x,,x,x,,,,,,,,,,,,,,,x
Aspredinidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspredinichthys filamentosus,,,,,,,x,x,,,,,,,,,,,,,,,,,,
Aspredo aspredo,,,,,,,x,x,,,,,,,,,,,,,,,,,,
Platystacus cotylephorus,,,,,,,x,x,,,,,,,,,,,,,,,,,,
Atherinidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Alepidomus evermanni,,,,,,,,,,,,,,,,,,,,,,,,,,x
Atherina harringtonensis,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Atherinomorus stipes,,,,,,,,,,,,,x,x,,,,,,,,,,,,x
Atherinopsidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherinella alvarezi,,,,,,,x,x,,,,,,,,x,,,,,,,,,,
Atherinella beani,,,,,,,,x,,,,,,,,x,,,,,,,,,,
Atherinella blackburni,,,,,,,,,,,,,,,,,,,,,,,,,,x
Atherinella brasiliensis,,,,,,,,x,,,,,,,,x,,,,,,,,,,
Atherinella chagresi,,x,,,,,x,,,,,,,,,x,,,,,,,,,,
Atherinella milleri,,,,,,,x,x,,,,,,,,x,,,,,,,,,,
Atherinella robbersi,,,,,,,x,x,,,,,,,,x,,,,,,,,,,
Atherinella schultzi,,,,,,,x,x,,,,,,,,x,,,,,,,,,,
Atherinella species A,,,,,,,,x,,,,,,,,x,,,,,,,,,,
Melanorhinus microps,,,,,,,,,,,,,,,,,,,,,,,,,,x
Membras analis,,,,,,,,,,,,,,,,,,,,,,,,,,x
Membras argentea,,,,,,,,,,,,,,,,,,,,,,,,,,x
Membras martinica,,,,,,,,,,,,,,,,,,,,,,,,,,x
Membras species A,,,,,,,,,,,,,,,,,,,,,,,,,,x
Menidia beryllina,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
Menidia clarkhubbsi,,,,,,,,x,x,,,,,,,,,,,,,,,,,x
Menidia colei,,,,,,,,x,x,,,,,,,,,,,,,,,,,x
Menidia conchorum,,,,,,,,x,x,,,,,,,,,,,,,,,,,x
Menidia menidia,,,,,,,,x,x,,,,,,,,,,,,,,,,,x
