species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Cetorhinus maximus,,x,,x,x
Chaenopsidae,,,,,
Acanthemblemaria aceroi,x,,,,
Acanthemblemaria aspera,x,,,,
Acanthemblemaria betinensis,x,,,,
Acanthemblemaria chaplini,x,,,,
Acanthemblemaria greenfieldi,x,,,,
Acanthemblemaria harpeza,x,,,,
Acanthemblemaria johnsoni,x,,,,
Acanthemblemaria maria,x,,,,
Acanthemblemaria medusa,x,,,,
Acanthemblemaria paula,x,,,,
Acanthemblemaria rivasi,x,,,,
Acanthemblemaria spinosa,x,,,,
Chaenopsis limbaughi,x,,,,
Chaenopsis megalops,x,,,,
Chaenopsis ocellata,x,,,,
Chaenopsis resh,x,,,,
Chaenopsis roseola,x,,,,
Chaenopsis stephensi,x,,,,
Coralliozetus cardonae,x,,,,
Ekemblemaria nigra,x,,,,
Emblemaria atlantica,x,,,,
Emblemaria australis,x,,,,
Emblemaria biocellata,x,,,,
Emblemaria caldwelli,x,,,,
Emblemaria caycedoi,x,,,,
Emblemaria culmenis,x,,,,
Emblemaria diphyodontis,x,,,,
Emblemaria hyltoni,x,,,,
Emblemaria pandionis,x,,,,
Emblemaria piratula,x,,,,
Emblemaria vitta,x,,,,
Emblemariopsis bahamensis,x,,,,
Emblemariopsis bottomei,x,,,,
Emblemariopsis carib,x,,,,
Emblemariopsis dianae,x,,,,
Emblemariopsis diaphana,x,,,,
Emblemariopsis falcon,x,,,,
Emblemariopsis lancea,x,,,,
Emblemariopsis leptocirris,x,,,,
Emblemariopsis occidentalis,x,,,,
Emblemariopsis pricei,x,,,,
Emblemariopsis randalli,x,,,,
Emblemariopsis ruetzleri,x,,,,
Emblemariopsis tayrona,x,,,,
Hemiemblemaria simula,x,,,,
Lucayablennius zingaro,x,,x,,
Protemblemaria punctata,x,,,,
Stathmonotus gymnodermis,x,,,,
Stathmonotus hemphillii,x,,,,
Stathmonotus stahli,x,,,,
Stathmonotus tekla,x,,,,
Chaetodontidae,,,,,
Chaetodon capistratus,x,,,,
Chaetodon lunula,x,,,,
Chaetodon ocellatus,x,,,,
