species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Breviraja colesi,x,,,,
Breviraja mouldi,x,,,,
Breviraja nigriventralis,x,,,,
Breviraja spinosa,x,,,,
Dactylobatus armatus,x,,,,
Dactylobatus clarkii,x,,,,
Dipturus bullisi,x,,,,
Dipturus garricki,x,,,,
Dipturus olseni,x,,,,
Dipturus oregoni,x,,,,
Dipturus teevani,x,,,,
Fenestraja atripinna,x,,,,
Fenestraja cubensis,x,,,,
Fenestraja ishiyamai,x,,,,
Fenestraja plutonia,x,,,,
Fenestraja sinusmexicanus,x,,,,
Gurgesiella atlantica,x,,,,
Leucoraja garmani,x,,,,
Leucoraja lentiginosa,x,,,,
Leucoraja yucatanensis,x,,,,
Malacoraja senta,x,,,,
Neoraja carolinensis,x,,,,
Rajella bigelowi,x,,,,
Rajella fuliginea,x,,,,
Rajella purpuriventralis,x,,,,
Rostroraja ackleyi,x,,,,
Rostroraja bahamensis,x,,,,
Rostroraja cervigoni,x,,,,
Rostroraja eglanteria,x,,,,
Rostroraja texana,x,,,,
Regalecidae,,,,,
Regalecus glesne,,x,x,x,
Rhincodontidae,,,,,
Rhincodon typus,,x,,x,x
Rhinobatidae,,,,,
Pseudobatos lentiginosus,x,,,,
Pseudobatos percellens,x,,,,
Rhinochimaeridae,,,,,
Harriotta raleighana,x,,x,,
Neoharriotta carri,x,,x,,
Rhinochimaera atlantica,x,,,,
Rhinopteridae,,,,,
Rhinoptera bonasus,x,x,x,x,x
Rhinoptera brasiliensis,x,x,x,x,x
Scatophagidae,,,,,
Scatophagus argus,x,,,,
Sciaenidae,,,,,
Bairdiella chrysoura,x,,,,
Bairdiella ronchus,x,,,,
Corvula batabana,x,,,,
Corvula sanctaeluciae,x,,,,
Ctenosciaena gracilicirrhus,x,,,,
Cynoscion acoupa,x,,,,
Cynoscion arenarius,x,,,,
Cynoscion jamaicensis,x,,,,
Cynoscion leiarchus,x,,,,
Cynoscion microlepidotus,x,,,,
Cynoscion nebulosus,x,,,,
Cynoscion nothus,x,,,,
Cynoscion regalis,x,,,,
Cynoscion similis,x,,,,
Cynoscion virescens,x,,,,
Equetus lanceolatus,x,,,,
Equetus punctatus,x,,,,
Isopisthus parvipinnis,x,,,,
Larimus breviceps,x,,,,
Larimus fasciatus,x,,,,
Leiostomus xanthurus,x,,,,
Lonchurus elegans,x,,,,
Lonchurus lanceolatus,x,,,,
Macrodon ancylodon,x,,,,
Menticirrhus americanus,x,,,,
Menticirrhus littoralis,x,,,,
Menticirrhus saxatilis,x,,,,
Micropogonias furnieri,x,,,,
Micropogonias undulatus,x,,,,
Nebris microps,x,,,,
Odontoscion dentex,x,,,,
Ophioscion gomezi,x,,,,
Ophioscion panamensis,x,,,,
Ophioscion punctatissimus,x,,,,
Paralonchurus brasiliensis,x,,,,
Pareques acuminatus,x,,,,
Pareques iwamotoi,x,,,,
Pareques umbrosus,x,,,,
Pogonias cromis,x,,,,
Protosciaena bathytatos,x,,,,
Protosciaena trewavasae,x,,,,
Sciaenops ocellatus,x,,,,
Stellifer chaoi,x,,,,
Stellifer colonensis,x,,,,
Stellifer griseus,x,,,,
Stellifer lanceolatus,x,,,,
Stellifer magoi,x,,,,
Stellifer microps,x,,,,
Stellifer naso,x,,,,
Stellifer rastrifer,x,,,,
Stellifer species A,x,,,,
Stellifer species C,x,,,,
Stellifer stellifer,x,,,,
Stellifer venezuelae,x,,,,
Umbrina broussonnetii,x,,,,
Umbrina coroides,x,,,,
Umbrina milliae,x,,,,
Scomberesocidae,,,,,
Scomberesox saurus saurus,,,,x,x
Scombridae,,,,,
Acanthocybium solandri,,x,,x,x
Auxis rochei rochei,,x,,x,x
Auxis thazard thazard,,x,,x,x
Euthynnus alletteratus,,x,,x,x
Katsuwonus pelamis,,x,,x,x
Sarda sarda,,x,,x,x
Scomber colias,,x,,x,x
Scomberomorus brasiliensis,,x,,x,x
Scomberomorus cavalla,,x,,x,x
Scomberomorus maculatus,,x,,x,x
Scomberomorus regalis,,x,,x,x
Thunnus alalunga,,x,,x,x
Thunnus albacares,,x,,x,x
Thunnus atlanticus,,x,,x,x
Thunnus obesus,,x,,x,x
Thunnus thynnus,,x,,x,x
Scombropidae,,,,,
Scombrops oculatus,x,,x,,
Scophthalmidae,,,,,
Scophthalmus aquosus,x,,,,
Scorpaenidae,,,,,
Ectreposebastes imus,x,x,x,,
Helicolenus dactylopterus,x,,,,
Idiastion kyphos,x,,,,
Neomerinthe beanorum,x,,,,
Neomerinthe hemingwayi,x,,,,
Phenacoscorpius nebris,x,,,,
Pontinus castor,x,,,,
Pontinus helena,x,,,,
Pontinus longispinis,x,,,,
Pontinus nematophthalmus,x,,,,
Pontinus rathbuni,x,,,,
Pterois volitans,x,,,,
Scorpaena agassizii,x,,,,
Scorpaena albifimbria,x,,,,
Scorpaena bergii,x,,,,
Scorpaena brachyptera,x,,,,
Scorpaena brasiliensis,x,,,,
Scorpaena calcarata,x,,,,
Scorpaena dispar,x,,,,
Scorpaena elachys,x,,,,
Scorpaena grandicornis,x,,,,
Scorpaena inermis,x,,,,
Scorpaena isthmensis,x,,,,
Scorpaena plumieri,x,,,,
Scorpaenodes barrybrowni,x,,,,
Scorpaenodes caribbaeus,x,,,,
Scorpaenodes tredecimspinosus,x,,,,
Setarches guentheri,x,x,x,,
Trachyscorpia cristulata,x,,,,
Scyliorhinidae,,,,,
Apristurus canutus,x,,,,
Apristurus laurussonii,x,,,,
Apristurus parvipinnis,x,,,,
Apristurus riveri,x,,,,
Galeus antillensis,x,,,,
Galeus arae,x,,,,
Galeus cadenati,x,,x,,
Galeus springeri,x,,x,,
Parmaturus campechiensis,x,,,,
Schroederichthys maculatus,x,,,,
Schroederichthys tenuis,x,,,,
Scyliorhinus boa,x,,,,
Scyliorhinus hesperius,x,,,,
Scyliorhinus meadi,x,,,,
Scyliorhinus retifer,x,,,,
Scyliorhinus torrei,x,,,,
Serranidae,,,,,
Alphestes afer,x,,,,
Anthias asperilinguis,x,,x,,
Anthias hensleyi,x,,x,,
Anthias nicholsi,x,,x,,
Anthias woodsi,x,,,,
Baldwinella aureorubens,x,,x,,
Baldwinella vivanus,x,,,,
Bathyanthias cubensis,x,,,,
Bathyanthias mexicanus,x,,,,
Bathyanthias species A,x,,,,
Bullisichthys caribbaeus,x,,,,
Centropristis ocyurus,x,,,,
Centropristis philadelphica,x,,,,
Centropristis striata,x,,,,
Cephalopholis argus,x,,,,
Cephalopholis cruentata,x,,,,
Cephalopholis fulva,x,,,,
Choranthias tenuis,x,,,,
Dermatolepis inermis,x,,,,
Diplectrum bivittatum,x,,,,
Diplectrum formosum,x,,,,
Diplectrum radiale,x,,,,
Epinephelus adscensionis,x,,,,
Epinephelus altivelis,x,,,,
Epinephelus guttatus,x,,,,
Epinephelus itajara,x,,,,
Epinephelus morio,x,,,,
Epinephelus ongus,x,,,,
Epinephelus striatus,x,,,,
Gonioplectrus hispanus,x,,,,
Hemanthias leptus,x,,,,
Hypoplectrus aberrans,x,,,,
Hypoplectrus atlahua,x,,,,
Hypoplectrus castroaguirrei,x,,,,
Hypoplectrus chlorurus,x,,,,
Hypoplectrus ecosur,x,,,,
Hypoplectrus floridae,x,,,,
Hypoplectrus gemma,x,,,,
Hypoplectrus gummigutta,x,,,,
Hypoplectrus guttavarius,x,,,,
Hypoplectrus indigo,x,,,,
Hypoplectrus liberte,x,,,,
Hypoplectrus maculiferus,x,,,,
Hypoplectrus maya,x,,,,
Hypoplectrus nigricans,x,,,,
Hypoplectrus providencianus,x,,,,
Hypoplectrus puella,x,,,,
Hypoplectrus randallorum,x,,,,
Hypoplectrus species 1,x,,,,
Hypoplectrus unicolor,x,,,,
Hyporthodus drummondhayi,x,,,,
Hyporthodus flavolimbatus,x,,,,
Hyporthodus mystacinus,x,,,,
Hyporthodus nigritus,x,,,,
Hyporthodus niveatus,x,,,,
Jeboehlkia gladifer,x,,,,
Liopropoma aberrans,x,,,,
Liopropoma carmabi,x,,,,
Liopropoma eukrines,x,,,,
Liopropoma mowbrayi,x,,,,
Liopropoma olneyi,x,,,,
Liopropoma rubre,x,,,,
Liopropoma santi,x,,,,
Mycteroperca acutirostris,x,,,,
Mycteroperca bonaci,x,,,,
Mycteroperca cidi,x,,,,
Mycteroperca interstitialis,x,,,,
Mycteroperca microlepis,x,,,,
Mycteroperca phenax,x,,,,
Mycteroperca tigris,x,,,,
Mycteroperca venenosa,x,,,,
Paralabrax dewegeri,x,,,,
Paranthias furcifer,x,,x,,
Parasphyraenops atrimanus,x,,,,
Parasphyraenops incisus,x,,,,
Plectranthias garrupellus,x,,,,
Plectranthias species A,x,,,,
Pronotogrammus martinicensis,x,,x,,
Pseudogramma gregoryi,x,,,,
Rypticus bistrispinus,x,,,,
Rypticus bornoi,x,,,,
Rypticus carpenteri,x,,,,
Rypticus maculatus,x,,,,
Rypticus randalli,x,,,,
Rypticus saponaceus,x,,,,
Rypticus subbifrenatus,x,,,,
Schultzea beta,x,,,,
Serraniculus pumilio,x,,,,
Serranus annularis,x,,,,
Serranus atrobranchus,x,,,,
Serranus baldwini,x,,,,
Serranus chionaraia,x,,,,
Serranus flaviventris,x,,,,
Serranus fuscula,x,,,,
Serranus luciopercanus,x,,,,
Serranus maytagi,x,,,,
Serranus notospilus,x,,,,
Serranus phoebe,x,,,,
Serranus subligarius,x,,,,
Serranus tabacarius,x,,x,,
Serranus tigrinus,x,,,,
Serranus tortugarum,x,,,,
Somniosidae,,,,,
Centroscymnus coelolepis,x,x,x,,
Centroscymnus owstonii,x,x,x,,
Somniosus microcephalus,x,,x,,
Somniosus rostratus,x,,x,,
Zameus squamulosus,x,x,x,x,x
Sparidae,,,,,
Archosargus probatocephalus,x,,,,
Archosargus rhomboidalis,x,,,,
Calamus arctifrons,x,,,,
Calamus bajonado,x,,,,
Calamus calamus,x,,,,
Calamus campechanus,x,,,,
Calamus cervigoni,x,,,,
Calamus leucosteus,x,,,,
Calamus nodosus,x,,,,
Calamus penna,x,,,,
Calamus pennatula,x,,,,
Calamus proridens,x,,,,
Diplodus argenteus caudimacula,x,,,,
Diplodus bermudensis,x,,,,
Diplodus holbrookii,x,,,,
Lagodon rhomboides,x,,,,
Pagrus pagrus,x,,,,
Stenotomus caprinus,x,,,,
Stenotomus chrysops,x,,,,
Sphyraenidae,,,,,
Sphyraena barracuda,,x,x,x,
Sphyraena borealis,,x,x,x,x
Sphyraena guachancho,,x,x,x,x
Sphyrnidae,,,,,
Sphyrna gilberti,x,,x,,
Sphyrna lewini,x,x,x,,
Sphyrna media,x,,,,
Sphyrna mokarran,x,x,x,x,
Sphyrna tiburo,x,x,x,,
Sphyrna tudes,x,,x,,
Sphyrna zygaena,,x,x,,
Squalidae,,,,,
Cirrhigaleus asper,x,,x,,
Squalus acanthias,x,x,x,,x
Squalus clarkae,x,,x,,
Squalus cubensis,x,,x,,
Squatinidae,,,,,
Squatina david,x,,,,
Squatina dumeril,x,,,,
Stromateidae,,,,,
Peprilus burti,x,x,x,x,
Peprilus paru,x,x,x,x,
Peprilus triacanthus,x,x,x,x,x
Peprilus xanthurus,x,x,x,,
Symphysanodontidae,,,,,
Symphysanodon berryi,x,,x,,
Symphysanodon mona,x,,x,,
Symphysanodon octoactinus,x,x,x,,
Synaphobranchidae,,,,,
Dysomma anguillare,x,,,,
Linkenchelys multipora,x,,,,
Syngnathidae,,,,,
Amphelikturus dendriticus,x,,,,
Anarchopterus criniger,x,,,,
Anarchopterus tectus,x,,,,
Bryx dunckeri,x,,,,
Bryx randalli,x,,,,
Cosmocampus albirostris,x,,,,
Cosmocampus brachycephalus,x,,,,
Cosmocampus elucens,x,,,,
Cosmocampus hildebrandi,x,,,,
Cosmocampus profundus,x,,,,
Halicampus crinitus,x,,,,
Hippocampus erectus,x,,,,
Hippocampus reidi,x,,,,
Hippocampus zosterae,x,,,,
Micrognathus erugatus,x,,,,
Microphis lineatus,x,,,,
Minyichthys inusitatus,x,,,x,x
Penetopteryx nanus,x,,,,
Pseudophallus mindii,x,,,,
Syngnathus caribbaeus,x,,,,
Syngnathus dawsoni,x,,,,
Syngnathus floridae,x,,,,
Syngnathus fuscus,x,,,,
Syngnathus louisianae,x,,,,
Syngnathus makaxi,x,,,,
Syngnathus pelagicus,,,,,x
Syngnathus scovelli,x,,,,
Syngnathus springeri,x,,,,
Syngnathus texanus,x,,,,
Synodontidae,,,,,
Saurida brasiliensis,x,,,,
Saurida caribbaea,x,,,,
Saurida normani,x,,,,
Saurida suspicio,x,,,,
Synodus bondi,x,,,,
Synodus foetens,x,,,,
Synodus intermedius,x,,,,
Synodus macrostigmus,x,,,,
Synodus poeyi,x,,,,
Synodus saurus,x,,,,
Synodus synodus,x,,,,
Trachinocephalus myops,x,,,,
Tetraodontidae,,,,,
Arothron diadematus,x,,,,
Canthigaster figueiredoi,x,,,,
Canthigaster jamestyleri,x,,,,
Canthigaster rostrata,x,,,,
Colomesus psittacus,x,,,,
Lagocephalus laevigatus,x,,,,
Lagocephalus lagocephalus,,x,,x,
Sphoeroides dorsalis,x,,,,
Sphoeroides georgemilleri,x,,,,
Sphoeroides greeleyi,x,,,,
Sphoeroides maculatus,x,,,,
Sphoeroides nephelus,x,,,,
Sphoeroides pachygaster,x,,,,
Sphoeroides parvus,x,,,,
Sphoeroides spengleri,x,,,,
Sphoeroides testudineus,x,,,,
Sphoeroides tyleri,x,,,,
Sphoeroides yergeri,x,,,,
Torpedinidae,,,,,
Tetronarce occidentalis,x,x,x,,
Torpedo andersoni,x,,x,,
Trachichthyidae,,,,,
Gephyroberyx darwinii,x,x,x,,
Hoplostethus mediterraneus,x,x,x,,
Hoplostethus occidentalis,x,,x,,
Triacanthodidae,,,,,
Hollardia hollardi,x,,,,
Hollardia meadi,x,,,,
Johnsonina eriomma,x,,,,
Parahollardia lineata,x,,,,
Parahollardia schmidti,x,,,,
Triakidae,,,,,
Mustelus canis,x,,x,,
Mustelus higmani,x,,x,,
Mustelus minicanis,x,,x,,
Mustelus norrisi,x,,x,,
Mustelus sinusmexicanus,x,,x,,
Trichiuridae,,,,,
Aphanopus carbo,x,x,x,,
Aphanopus intermedius,x,,x,,
Assurger anzac,x,x,x,x,
Benthodesmus simonyi,x,x,x,,
Benthodesmus tenuis,x,x,x,,
Evoxymetopon taeniatus,x,x,x,,
Lepidopus altifrons,x,x,x,,
Trichiurus lepturus,x,x,x,x,
Triglidae,,,,,
Bellator brachychir,x,,,,
Bellator egretta,x,,,,
Bellator militaris,x,,,,
Bellator ribeiroi,x,,,,
Prionotus alatus,x,,,,
Prionotus beanii,x,,,,
Prionotus carolinus,x,,,,
Prionotus evolans,x,,,,
Prionotus longispinosus,x,,,,
Prionotus martis,x,,,,
Prionotus ophryas,x,,,,
Prionotus paralatus,x,,,,
Prionotus punctatus,x,,,,
Prionotus roseus,x,,,,
Prionotus rubio,x,,,,
Prionotus scitulus,x,,,,
Prionotus stearnsi,x,,,,
Prionotus tribulus,x,,,,
Tripterygiidae,,,,,
Enneanectes altivelis,x,,,,
Enneanectes atrorus,x,,,,
Enneanectes boehlkei,x,,,,
Enneanectes deloachorum,x,,,,
Enneanectes flavus,x,,,,
Enneanectes jordani,x,,,,
Enneanectes matador,x,,,,
Enneanectes quadra,x,,,,
Enneanectes wilki,x,,,,
Uranoscopidae,,,,,
Astroscopus guttatus,x,,,,
Astroscopus y-graecum,x,,,,
Kathetostoma albigutta,x,,,,
Kathetostoma cubana,x,,,,
Xenocephalus egregius,x,,,,
Urotrygonidae,,,,,
Urobatis jamaicensis,x,,,,
Urotrygon microphthalmum,x,,,,
Urotrygon venezuelae,x,,,,
Xiphiidae,,,,,
Xiphias gladius,,x,,x,x
Zanclidae,,,,,
Zanclus cornutus,x,,,,
Zeidae,,,,,
Zenopsis conchifer,,x,x,,
Zeniontidae,,,,,
Zenion hololepis,,,,,
