name,meters,location
Prognathodes guyanensis,158,Bonaire
Pronotogrammus martinicensis,158,Bonaire
Pronotogrammus martinicensis,158,Bonaire
Pronotogrammus martinicensis,158,Bonaire
Pronotogrammus martinicensis,158,Bonaire
Pronotogrammus martinicensis,158,Bonaire
Serranus phoebe,158,Bonaire
Symphysanodon octoactinus,158,Bonaire
Ostichthys trachypoma,157,Bonaire
Pomacanthus paru,157,Bonaire
Pomacanthus paru,157,Bonaire
Pronotogrammus martinicensis,157,Bonaire
Gonioplectrus hispanus,156,Bonaire
Gonioplectrus hispanus,156,Bonaire
Gonioplectrus hispanus,156,Bonaire
Palatogobius incendius,156,Bonaire
Pontinus castor,156,Bonaire
Pronotogrammus martinicensis,156,Bonaire
Pronotogrammus martinicensis,156,Bonaire
Pronotogrammus martinicensis,156,Bonaire
Serranus notospilus,156,Bonaire
Serranus notospilus,156,Bonaire
Corniger spinosus,155,Bonaire
Corniger spinosus,155,Bonaire
Corniger spinosus,155,Bonaire
Corniger spinosus,155,Bonaire
Equetus lanceolatus,155,Bonaire
Pontinus castor,155,Bonaire
Pronotogrammus martinicensis,155,Bonaire
Pronotogrammus martinicensis,155,Bonaire
Pronotogrammus martinicensis,155,Bonaire
Pronotogrammus martinicensis,155,Bonaire
Pronotogrammus martinicensis,155,Bonaire
Serranus notospilus,155,Bonaire
Baldwinella vivanus,154,Bonaire
Baldwinella vivanus,154,Bonaire
Baldwinella vivanus,154,Bonaire
Baldwinella vivanus,154,Bonaire
Baldwinella vivanus,154,Bonaire
Baldwinella vivanus,154,Bonaire
Gonioplectrus hispanus,154,Bonaire
Hemanthias leptus,154,Bonaire
Hemanthias leptus,154,Bonaire
Hemanthias leptus,154,Bonaire
Liopropoma olneyi,154,Bonaire
Liopropoma olneyi,154,Bonaire
Pontinus castor,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Pronotogrammus martinicensis,154,Bonaire
Scorpaenodes barrybrowni,154,Bonaire
Serranus notospilus,154,Bonaire
Symphysanodon octoactinus,154,Bonaire
Symphysanodon octoactinus,154,Bonaire
Chromis enchrysura,153,Bonaire
Liopropoma olneyi,153,Bonaire
Liopropoma olneyi,153,Bonaire
Lipogramma levinsoni,153,Bonaire
Pronotogrammus martinicensis,153,Bonaire
Serranus notospilus,153,Bonaire
Serranus phoebe,153,Bonaire
Canthigaster jamestyleri,152,Bonaire
Decodon shallow,152,Bonaire
Liopropoma olneyi,152,Bonaire
Liopropoma olneyi,152,Bonaire
Liopropoma olneyi,152,Bonaire
Pontinus castor,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
