name,meters,location
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Hypoplectrus indigo,53.9496,St. Eustatius
Sphyraena barracuda,53.9496,St. Eustatius
Stegastes partitus,53.9496,St. Eustatius
Cephalopholis fulva,54.2544,St. Eustatius
Cephalopholis fulva,54.2544,St. Eustatius
Holocentrus rufus,54.5592,St. Eustatius
Stegastes partitus,54.5592,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
Chromis cyanea,54.864,St. Eustatius
